# #stocks, #noise, #price, #walk, #kn, #action
4649,5,0,0,0,sell
4666,-24,-0.001,5,17,buy
4639,-14,0.005,-19,-10,buy
4625,22,0.009000000000000001,-33,-24,sell
4648,32,0.001,-11,-1,sell
4682,-20,-0.002,21,33,buy
4662,-2,0.003,1,13,buy
4656,-14,0.004,-1,7,buy
4639,18,0.008,-15,-10,sell
4661,-16,0.001,3,12,buy
4641,21,0.007,-13,-8,sell
4670,-22,0.0,8,21,buy
4646,3,0.006,-14,-3,sell
4651,21,0.003,-11,2,sell
4676,-4,-0.001,10,27,buy
4670,5,0.001,6,21,sell
4676,-2,-0.001,11,27,buy
4674,37,0.0,9,25,sell
4712,18,-0.004,46,63,sell
4736,33,-0.006,64,87,sell
4774,-36,-0.009000000000000001,97,125,buy
4730,-26,0.002,61,81,buy
4697,13,0.008,35,48,sell
4713,11,0.002,48,64,sell
4728,33,0.0,59,79,sell
4763,14,-0.006,92,114,sell
4783,-10,-0.010000000000000002,106,134,buy
4772,3,-0.004,96,123,sell
4775,-6,-0.006,99,126,buy
4768,11,-0.003,93,119,sell
4780,-17,-0.009000000000000001,104,131,buy
4763,20,-0.002,87,114,sell
4783,-16,-0.010000000000000002,107,134,buy
4763,17,-0.002,91,114,sell
4783,38,-0.010000000000000002,108,134,sell
4825,-11,-0.013000000000000005,146,176,buy
4810,-23,-0.004,135,161,buy
4784,-21,0.0,112,135,buy
4761,-19,0.003,91,112,buy
4733,5,0.007,72,84,sell
4738,15,0.004,77,89,sell
4753,-1,0.001,92,104,buy
4752,32,0.002,91,103,sell
4785,-21,-0.004,123,136,buy
4758,29,0.002,102,109,sell
4792,14,-0.005,131,143,sell
4810,31,-0.010000000000000002,145,161,sell
4844,2,-0.014000000000000005,176,195,sell
4860,7,-0.015000000000000006,178,211,sell
4870,23,-0.016000000000000007,185,221,sell
4898,14,-0.01800000000000001,208,249,sell
4918,-9,-0.02000000000000001,222,269,buy
4909,-24,-0.011000000000000003,213,260,buy
4878,24,-0.003,189,229,sell
4902,-15,-0.014000000000000005,213,253,buy
4886,20,-0.004,198,237,sell
4911,9,-0.017000000000000008,218,262,sell
4925,5,-0.02100000000000001,227,276,sell
4933,-1,-0.022000000000000013,232,284,buy
4932,-6,-0.017000000000000008,231,283,buy
4926,9,-0.013000000000000005,225,277,sell
4949,-17,-0.023000000000000013,234,300,buy
4932,-5,-0.011000000000000003,217,283,buy
4923,13,-0.009000000000000001,212,274,sell
4936,-28,-0.017000000000000008,225,287,buy
4906,6,-0.004,197,257,sell
4913,16,-0.009000000000000001,203,264,sell
4931,-28,-0.017000000000000008,219,282,buy
4897,1,-0.003,191,248,sell
4898,10,-0.004,192,249,sell
4909,9,-0.009000000000000001,202,260,sell
4921,-11,-0.014000000000000005,211,272,buy
4910,-35,-0.005,200,261,buy
4866,1,0.0,165,217,sell
4868,4,-0.001,166,219,sell
4876,-8,-0.003,170,227,buy
4866,2,0.0,162,217,sell
4868,-25,-0.001,164,219,buy
4840,28,0.003,139,191,sell
4869,14,-0.004,167,220,sell
4884,1,-0.007,181,235,sell
4885,32,-0.008,182,236,sell
4924,-28,-0.017000000000000008,214,275,buy
4891,-23,-0.003,186,242,buy
4865,-21,0.0,163,216,buy
4840,18,0.003,142,191,sell
4860,5,-0.002,160,211,sell
4865,21,-0.003,165,216,sell
4888,6,-0.009000000000000001,186,239,sell
4897,8,-0.011000000000000003,192,248,sell
4909,-11,-0.014000000000000005,200,260,buy
4898,40,-0.005,189,249,sell
4949,-11,-0.023000000000000013,229,300,buy
4937,-16,-0.012000000000000004,218,288,buy
4921,26,-0.008,202,272,sell
4949,26,-0.023000000000000013,228,300,sell
4976,-22,-0.027000000000000017,254,327,buy
4951,5,-0.011000000000000003,232,302,sell
4959,6,-0.017000000000000008,237,310,sell
4966,-4,-0.022000000000000013,243,317,buy
4962,14,-0.016000000000000007,239,313,sell
4976,-10,-0.027000000000000017,253,327,buy
4966,-1,-0.016000000000000007,243,317,buy
4964,21,-0.015000000000000006,242,315,sell
4990,6,-0.028000000000000018,263,341,sell
5003,-25,-0.02900000000000002,269,354,buy
4975,-41,-0.012000000000000004,244,326,buy
4930,-21,-0.003,203,281,buy
4901,-47,0.0,182,252,buy
4853,42,0.008,135,204,sell
4896,46,-0.002,177,247,sell
4947,36,-0.012000000000000004,223,298,sell
4983,6,-0.022000000000000013,259,334,sell
4995,-42,-0.024000000000000014,265,346,buy
4953,-20,-0.006,223,304,buy
4920,24,-0.001,203,271,sell
4946,-10,-0.010000000000000002,227,297,buy
4935,-46,-0.004,217,286,buy
4887,-15,0.003,171,238,buy
4866,30,0.005,156,217,sell
4897,-3,-0.002,186,248,buy
4892,-14,0.0,183,243,buy
4877,-22,0.003,169,228,buy
4853,-7,0.008,147,204,buy
4840,12,0.009000000000000001,140,191,sell
4853,2,0.003,152,204,sell
4855,-36,0.002,154,206,buy
4819,-7,0.012000000000000004,118,170,buy
4801,-5,0.014000000000000005,111,152,buy
4791,-45,0.015000000000000006,106,142,buy
4732,-2,0.02100000000000001,61,83,buy
4730,-10,0.022000000000000013,59,81,buy
4717,2,0.024000000000000014,49,68,sell
4719,32,0.01800000000000001,51,70,sell
4752,8,0.006,83,103,sell
4767,11,0.004,91,118,sell
4789,-1,0.001,102,140,buy
4788,6,0.002,101,139,sell
4796,13,0.0,107,147,sell
4820,-17,-0.002,120,171,buy
4800,-9,0.003,103,151,buy
4789,15,0.005,94,140,sell
4809,40,0.0,109,160,sell
4853,-10,-0.008,149,204,buy
4839,-3,-0.002,139,190,buy
4835,14,-0.001,136,186,sell
4849,-15,-0.005,150,200,buy
4828,46,0.0,135,179,sell
4875,16,-0.012000000000000004,181,226,sell
4894,-13,-0.015000000000000006,197,245,buy
4875,-44,-0.004,184,226,buy
4824,-20,0.002,140,175,buy
4802,-14,0.005,120,153,buy
4785,42,0.008,106,136,sell
4828,-25,-0.002,148,179,buy
4802,-11,0.004,123,153,buy
4789,-17,0.007,112,140,buy
4769,14,0.011000000000000003,95,120,sell
4783,31,0.004,109,134,sell
4816,-24,-0.001,140,167,buy
4789,-16,0.005,116,140,buy
4772,-7,0.010000000000000002,100,123,buy
4756,-28,0.014000000000000005,93,107,buy
4727,30,0.02000000000000001,65,78,sell
4758,8,0.005,95,109,sell
4773,11,0.003,103,124,sell
4786,-2,0.001,114,137,buy
4782,-13,0.003,112,133,buy
4766,-16,0.007,99,117,buy
4749,67,0.014000000000000005,83,100,sell
4817,-3,-0.002,150,168,buy
4812,12,0.0,147,163,sell
4828,34,-0.003,159,179,sell
4875,-15,-0.012000000000000004,193,226,buy
4856,27,-0.003,178,207,sell
4894,53,-0.015000000000000006,205,245,sell
4947,-7,-0.03000000000000002,258,298,buy
4940,18,-0.02000000000000001,251,291,sell
4963,-22,-0.03200000000000002,269,314,buy
4941,-8,-0.015000000000000006,247,292,buy
4929,6,-0.012000000000000004,239,280,sell
4935,22,-0.017000000000000008,245,286,sell
4957,10,-0.02900000000000002,267,308,sell
4968,-10,-0.03300000000000002,277,319,buy
4958,7,-0.01900000000000001,267,309,sell
4966,40,-0.03000000000000002,274,317,sell
5017,-29,-0.03800000000000003,314,368,buy
4988,-9,-0.017000000000000008,285,339,buy
4979,-9,-0.015000000000000006,276,330,buy
4964,-4,-0.012000000000000004,267,315,buy
4956,21,-0.011000000000000003,263,307,sell
4979,-3,-0.025000000000000015,284,330,buy
4976,1,-0.01900000000000001,281,327,sell
4979,39,-0.025000000000000015,282,330,sell
5025,13,-0.03900000000000003,321,376,sell
5043,26,-0.04200000000000003,334,394,sell
5076,39,-0.047000000000000035,360,427,sell
5116,25,-0.05400000000000004,399,467,sell
5151,16,-0.059000000000000045,424,502,sell
5175,9,-0.06500000000000004,440,526,sell
5187,18,-0.06800000000000005,449,538,sell
5209,-3,-0.07100000000000005,467,560,buy
5202,-13,-0.05100000000000003,464,553,buy
5189,-34,-0.03800000000000002,451,540,buy
5153,1,-0.02700000000000001,417,504,sell
5154,2,-0.032000000000000015,418,505,sell
5156,-23,-0.033000000000000015,420,507,buy
5128,4,-0.015,397,479,sell
5133,47,-0.023000000000000007,401,484,sell
5181,-12,-0.044000000000000025,448,532,buy
5166,8,-0.02700000000000001,436,517,sell
5174,15,-0.04100000000000002,444,525,sell
5198,-43,-0.05300000000000003,459,549,buy
5151,-9,-0.021000000000000005,416,502,buy
5139,-8,-0.016,407,490,buy
5128,-10,-0.015,399,479,buy
5109,-30,-0.011999999999999997,389,460,buy
5076,-38,-0.002999999999999993,359,427,buy
5030,35,0.003000000000000007,321,381,sell
5068,2,-0.004999999999999993,356,419,sell
5070,32,-0.005999999999999993,358,421,sell
5105,-7,-0.015,390,456,buy
5097,-7,-0.008999999999999994,383,448,buy
5086,-16,-0.003999999999999993,376,437,buy
5062,-3,-0.000999999999999993,360,413,buy
5055,5,6.938893903907228e-18,357,406,sell
5060,6,-0.001999999999999993,362,411,sell
5068,20,-0.003999999999999993,368,419,sell
5088,-26,-0.009999999999999995,388,439,buy
5062,15,-0.000999999999999993,362,413,sell
5079,-10,-0.005999999999999993,377,430,buy
5068,28,-0.001999999999999993,367,419,sell
5096,1,-0.011999999999999997,395,447,sell
5101,38,-0.013999999999999999,396,452,sell
5139,-26,-0.023000000000000007,434,490,buy
5113,-25,-0.008999999999999994,408,464,buy
5087,16,-0.002999999999999993,383,438,sell
5105,6,-0.010999999999999996,399,456,sell
5111,-1,-0.013999999999999999,405,462,buy
5110,6,-0.010999999999999996,404,461,sell
5120,-5,-0.017,410,471,buy
5114,25,-0.011999999999999997,405,465,sell
5139,-6,-0.023000000000000007,430,490,buy
5133,-14,-0.013999999999999999,424,484,buy
5113,-7,-0.008999999999999994,410,464,buy
5100,-10,-0.005999999999999993,403,451,buy
5087,25,-0.002999999999999993,393,438,sell
5112,-14,-0.015,418,463,buy
5093,-8,-0.003999999999999993,404,444,buy
5082,30,-0.001999999999999993,396,433,sell
5112,-7,-0.013999999999999999,426,463,buy
5104,19,-0.007999999999999993,419,455,sell
5123,1,-0.018000000000000002,438,474,sell
5129,-33,-0.019000000000000003,439,480,buy
5095,-8,-0.003999999999999993,406,446,buy
5082,-13,-0.001999999999999993,398,433,buy
5056,9,6.938893903907228e-18,385,407,sell
5066,20,-0.002999999999999993,394,417,sell
5089,-9,-0.009999999999999995,414,440,buy
5078,-1,-0.003999999999999993,405,429,buy
5074,-9,-0.002999999999999993,404,425,buy
5063,-18,-0.000999999999999993,395,414,buy
5041,-22,0.002000000000000007,377,392,buy
5017,-13,0.006000000000000007,355,368,buy
5001,-11,0.01200000000000001,342,352,buy
4988,-10,0.015000000000000013,331,339,buy
4976,14,0.018000000000000016,321,327,sell
4995,-1,0.007000000000000007,335,346,buy
4994,-18,0.009000000000000008,334,345,buy
4976,17,0.018000000000000016,316,327,sell
4995,10,0.007000000000000007,333,346,sell
5010,-17,0.004000000000000007,343,361,buy
4992,24,0.01200000000000001,326,343,sell
5016,-30,0.002000000000000007,350,367,buy
4986,-22,0.014000000000000012,320,337,buy
4959,39,0.02100000000000002,298,310,sell
5003,24,0.004000000000000007,337,354,sell
5027,-6,0.001000000000000007,361,378,buy
5018,-7,0.004000000000000007,355,369,buy
5007,28,0.007000000000000007,348,358,sell
